Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Nicaragua,1913.0,,5.2,7.2,,0.66,3.6,,0.7,0.85,0.1,0.0,,16.6,13.0,1599.0,83.0,46.2,474.0,4.7,2.38,,23.7,0.27,27.3,57.7,,1.07,75.0,14.9,332.0,49.2,20.6,4.3,,85.16,6.81,27.0,2420.0,24.9
Niger,555.0,,0.5,4.4,,0.39,3.29,,1.0,0.01,98.3,,,80.4,,615.0,36.0,34.3,78.0,10.1,6.82,7.9,5.5,0.1,14.8,51.6,631.0,3.81,63.3,11.2,47.0,13.7,15.7,3.5,,58.92,2.45,,2390.0,27.15
Nigeria,2361.0,,13.4,34.5,,0.54,4.1,,0.96,0.49,53.5,0.0,0.0,117.2,7.0,1108.0,2.0,35.1,233.0,6.9,5.32,7.3,8.9,0.7,18.6,57.3,10752.0,2.58,62.6,8.6,32.0,21.6,19.3,,1658.0,7.91,28.6,1314.0,2710.0,26.8
North Macedonia,6093.0,37.2,,1.2,,0.77,5.89,,0.76,0.71,33.3,0.0,0.0,6.1,14.0,2293.0,73.0,34.2,1073.0,7.2,1.49,,22.4,0.76,39.0,71.1,,0.08,74.8,35.4,105.0,,26.0,3.3,,157.93,236.68,,,9.8
Norway,74986.0,159.99,7.5,0.5,,0.96,9.81,48.0,0.22,0.77,3.2,0.01,0.01,2.4,15.0,,181.0,27.0,6818.0,11.8,1.53,43.0,23.1,0.96,39.5,73.0,313661.0,0.94,82.6,61.7,49.0,,31.9,8.0,7.0,261.34,2211.14,10204.0,3450.0,1.5
Oman,15343.0,57.53,0.8,0.3,,0.81,3.0,,1.0,0.07,86.0,0.01,,11.4,9.0,10143.0,35.0,,1730.0,4.5,2.84,9.5,27.0,0.77,26.2,61.0,217178.0,4.08,73.9,49.8,45.0,41.9,24.8,6.8,,152.28,177.25,7.0,,25.6
Pakistan,1187.0,,0.3,3.9,,0.56,4.31,,0.92,0.02,96.5,0.0,,67.2,7.0,1539.0,43.0,33.5,178.0,0.6,3.45,41.5,8.6,0.56,22.0,55.0,400.0,1.91,65.6,12.3,38.0,27.1,18.3,2.9,943.0,183.13,60.8,3811.0,2280.0,20.2
Panama,15728.0,125.25,7.9,9.4,,0.82,7.18,,0.88,0.92,0.7,0.0,0.06,14.9,12.0,3819.0,157.0,49.2,1857.0,2.9,2.44,16.9,22.7,0.57,30.1,67.2,,1.55,79.3,54.5,420.0,80.9,21.6,4.1,,70.29,41.42,940.0,2450.0,25.4
Papua New Guinea,2845.0,,1.2,,,0.56,6.1,,,0.97,0.1,0.0,,44.8,7.0,2161.0,111.0,41.9,101.0,3.6,3.52,,21.3,0.11,24.0,58.4,7013.0,2.01,65.3,73.0,62.0,33.0,21.4,,,,7.44,122.0,,25.25
Paraguay,5406.0,56.89,7.2,7.1,,0.73,6.18,,0.92,0.96,0.1,0.0,0.01,19.4,14.0,4402.0,54.0,46.2,935.0,6.2,2.41,29.8,20.3,0.6,29.7,61.8,,1.25,75.8,70.3,241.0,77.8,22.7,3.4,,75.72,14.09,1007.0,2660.0,23.55
Peru,6978.0,51.81,6.3,7.9,,0.78,6.53,,0.84,0.87,0.1,0.0,0.01,13.2,14.0,3344.0,44.0,42.8,767.0,2.7,2.23,33.9,19.7,0.49,29.1,67.8,1267.0,1.2,79.9,34.5,290.0,77.7,23.5,3.9,223.0,62.15,50.96,4101.0,2410.0,19.6
